state,year,ev_registrations,total_vehicles,ev_share_percent,stations,total_charging_outlets,level_1,level_2,dc_fast,fuel_economy,incentives,population_20_64,education_bachelor,labour_force_participation_rate,unemployment_rate,bachelor_attainment,per_cap_income,affectweather,devharm,discuss,exp,localofficials,personal,reducetax,regulate,worried,price_cents_per_kwh,gasoline_price_per_gallon,party
Alaska,2022,2000,562100,0.36,61,113,3,81,29,28.47,15,440003,119112,79.6,4.2,27.07,43054,59.17,66.43,37.6,43.01,51.22,42.31,63.75,71.07,61.53,20.73,3.476,Republican
Alaska,2023,2700,559800,0.48,65,124,3,87,34,26.3,15,440628,126853,79.2,4.5,28.79,45792,60.66,65.95,38.61,43.68,53.11,43.28,65.38,71.61,62.49,21.41,3.594,Republican
Arizona,2018,12600,6033300,0.21,480,1227,3,996,228,54,44,4070854,1065567,75.5,4.8,26.18,30530,60.31,61.14,40.29,42.64,56.33,45.29,64.18,75.91,63.76,10.85,2.682,Republican
Arizona,2019,19500,6217700,0.31,522,1476,3,1169,304,32.96,44,4128298,1086752,76.1,4.5,26.32,32173,58.4,61.22,40,40.05,53.55,42.51,62.29,71.2,60.81,10.52,2.744,Republican
Arizona,2020,28800,6285600,0.46,573,1788,3,1412,373,30.63,44,4131411,1135443,76.4,4.95,27.48,34234,63.55,64,38.06,43.84,51.25,43.4,64.02,73.07,63.58,10.44,2.782,Democratic
Arizona,2021,40700,6359200,0.64,890,2259,10,1825,424,28.52,50,4134524,1184134,76.7,5.4,28.64,36295,64.22,67.54,37.3,46.52,57.36,47.8,62.91,71.21,65.73,10.73,2.977,Democratic
Arizona,2022,65800,6490500,1.01,984,2661,9,2043,609,28.47,50,4194186,1217980,77.5,3.9,29.04,39819,61.73,66.18,36.23,44.68,53.52,45.94,62.79,72.52,63.2,11.31,3.17,Democratic
Arizona,2023,89800,6529000,1.38,1198,3506,9,2478,1019,26.3,50,4211120,1264694,77.9,3.8,30.03,41290,63.12,65.85,37.28,44.87,55.67,46.92,64.73,73.19,64.32,12.19,3.278,Democratic
Arkansas,2018,600,2591500,0.02,70,124,3,101,20,54,21,1714011,363722,72.4,4,21.22,26626,53.17,57.23,31.77,38.39,55.53,39.68,64.21,73.79,58.73,7.78,2.258,Republican
Arkansas,2019,900,2594900,0.03,98,290,2,252,36,32.96,21,1710129,368040,73.4,4.2,21.52,27274,50.78,57.28,30.39,31.68,52.3,34.92,61.67,68.92,53.68,8.22,2.31,Republican
Arkansas,2020,1300,2645300,0.05,112,350,2,296,52,30.63,21,1711610,380522,74,4.75,22.23,28263,55.72,60.59,28.68,39.86,48.59,38.73,65.83,70.04,56.56,8.32,2.343,Republican
Arkansas,2021,2400,2690900,0.09,164,463,3,394,66,28.52,22,1713090,393003,74.5,5.3,22.94,29252,55.89,63.91,29.34,38.58,54.65,40.61,62.73,67.11,59.38,9.1,2.507,Republican
Arkansas,2022,5100,2685400,0.19,218,590,3,509,78,28.47,22,1728688,401468,72.7,4.2,23.22,31380,51.26,60.88,27.61,37.97,49.86,38.45,61.56,68.33,55.74,9.91,2.67,Republican
Arkansas,2023,7100,2708300,0.26,334,833,3,709,121,26.3,24,1731063,419237,74.5,3.9,24.22,33012,52.43,60.02,28.37,37.78,50.82,39.08,63.39,68.58,56.21,9.73,2.76,Republican
California,2018,273500,32814500,0.83,5480,21166,641,17778,2657,54,118,23858755,7346033,77.5,5.2,30.79,37124,67.21,68.47,45.88,51.57,61.48,51.55,72.03,79.07,69.74,16.58,3.87,Democratic
California,2019,349700,33671900,1.04,6439,27199,532,22933,3661,32.96,123,23741665,7545298,78,4.7,31.78,39393,64.51,68.48,46.61,51.82,60.51,51.74,70.12,74.43,71.42,16.89,3.959,Democratic
California,2020,425300,34339500,1.24,7689,34924,498,28885,5497,30.63,124,23609350,7654456,77.7,6.35,32.425,40894.5,69.28,71.42,44.81,50.57,57.1,48.69,72.05,76.06,70.48,18,4.015,Democratic
California,2021,563100,35000500,1.61,14607,41237,648,33723,6824,28.52,145,23477035,7763614,77.4,8,33.07,42396,70.14,74.26,42.65,53.36,61.89,54.32,71.06,74.12,72.7,19.65,4.296,Democratic
